age,gender,country,education_level,has_bank_account,mobile_money_user,loan_access,monthly_income
52,Female,Kenya,Secondary,1,1.0,0.0,129.67
50,Female,Kenya,Primary,1,1.0,1.0,619.01
22,Male,Rwanda,Tertiary,0,0.0,0.0,487.09
59,Female,Burundi,Secondary,1,0.0,0.0,507.87
56,Male,Tanzania,Primary,1,0.0,0.0,761.85
58,Male,Rwanda,Primary,0,0.0,1.0,884.92
45,,Burundi,Primary,0,1.0,0.0,359.58
24,Female,Rwanda,Secondary,no,0.0,0.0,591.23
26,Female,Rwanda,Secondary,0,1.0,0.0,699.22
25,Female,Rwanda,Primary,nan,1.0,0.0,760.19
29,Female,Rwanda,Primary,0,0.0,0.0,333.01
51,Female,Rwanda,Primary,0,0.0,0.0,863.16
50,Female,Burundi,,yes,0.0,0.0,564.82
65,,Kenya,Primary,0,0.0,0.0,711.77
40,Male,Tanzania,Secondary,0,0.0,0.0,705.05
41,Female,Tanzania,Primary,0,1.0,0.0,511.68
54,Female,Burundi,Secondary,1,1.0,0.0,633.86
52,Male,Burundi,Secondary,0,0.0,1.0,508.32
61,Male,Rwanda,Primary,nan,1.0,0.0,361.55
57,Other,Kenya,None,0,0.0,0.0,549.53
39,Male,Kenya,None,no,1.0,0.0,565.51
44,Male,Uganda,Primary,0,0.0,0.0,210.24
52,Female,Kenya,Secondary,1,0.0,1.0,591.26
18,Male,Rwanda,,0,0.0,0.0,534.3
52,Female,Uganda,,1,0.0,1.0,499.58
54,Male,Burundi,Primary,0,0.0,1.0,737.02
64,Male,Rwanda,Secondary,nan,,0.0,403.3
31,Female,Uganda,Primary,no,1.0,0.0,185.14
20,Male,Rwanda,None,0,0.0,,714.68
18,Female,Burundi,Secondary,0,1.0,0.0,480.22
22,Female,Uganda,Primary,0,0.0,0.0,252.08
43,Female,Rwanda,Primary,0,1.0,0.0,553.32
31,Female,Tanzania,Primary,0,0.0,1.0,474.56
56,Male,Burundi,Primary,0,0.0,1.0,413.12
44,Male,Uganda,None,1,0.0,0.0,371.66
26,Male,Tanzania,Secondary,1,0.0,0.0,350.38
32,Male,Tanzania,Primary,1,0.0,0.0,755.46
32,Female,Uganda,,nan,1.0,0.0,549.07
43,Male,Kenya,,0,1.0,0.0,662.2
59,Female,Kenya,Tertiary,no,1.0,0.0,681.16
30,Male,Rwanda,Tertiary,1,,0.0,687.24
68,Female,Uganda,None,1,0.0,1.0,286.27
49,Male,Uganda,Secondary,0,,0.0,196.12
56,Male,Tanzania,Primary,0,1.0,0.0,614.05
66,Female,Tanzania,Secondary,1,1.0,0.0,556.87
69,Female,Tanzania,Secondary,0,1.0,1.0,602.93
49,Female,Burundi,None,yes,1.0,0.0,310.38
21,Female,Kenya,Primary,1,1.0,,769.4
47,Female,Rwanda,Primary,0,1.0,0.0,370.06
54,Female,Rwanda,Secondary,no,1.0,0.0,502.99
40,Male,Uganda,Secondary,no,1.0,0.0,638.84
56,Male,Tanzania,Secondary,no,0.0,0.0,447.71
62,Female,Uganda,None,yes,0.0,1.0,529.81
32,Male,Kenya,Secondary,1,1.0,1.0,631.31
60,Male,Burundi,Secondary,0,0.0,0.0,633.48
46,Male,Kenya,Primary,0,1.0,0.0,646.67
53,Male,Uganda,Secondary,1,1.0,1.0,898.43
30,Female,Tanzania,Primary,0,1.0,0.0,401.46
49,Male,Uganda,Tertiary,0,0.0,0.0,547.31
24,Male,Tanzania,Tertiary,no,1.0,0.0,356.3
68,Male,Tanzania,Primary,1,0.0,0.0,482.95
39,Female,Uganda,Tertiary,1,0.0,1.0,514.09
45,Female,Burundi,Secondary,0,0.0,0.0,574.36
19,Male,Uganda,Primary,1,0.0,0.0,0.0
59,Female,Kenya,Tertiary,nan,0.0,0.0,447.12
62,Male,Kenya,Primary,0,1.0,0.0,445.8
23,Female,Rwanda,Secondary,1,,0.0,747.58
45,Female,Kenya,Secondary,1,1.0,0.0,480.69
45,Other,Kenya,Secondary,0,0.0,0.0,431.86
61,Male,Uganda,None,yes,0.0,0.0,598.38
61,Male,Uganda,Primary,0,0.0,0.0,112.97
37,Male,Burundi,Secondary,no,0.0,0.0,598.09
47,Male,Kenya,Primary,nan,1.0,0.0,579.11
28,Male,Burundi,Secondary,1,1.0,0.0,542.1
45,Male,Burundi,Primary,no,0.0,1.0,642.72
42,Male,Kenya,Secondary,0,1.0,,534.26
56,Female,Uganda,Primary,0,1.0,0.0,260.89
50,Male,Tanzania,Secondary,nan,1.0,0.0,436.08
18,Other,Tanzania,Secondary,1,1.0,0.0,316.87
44,Female,Tanzania,Secondary,0,0.0,0.0,679.3
69,Female,Burundi,Tertiary,1,0.0,1.0,497.7
30,Female,Tanzania,,nan,0.0,0.0,596.04
58,Female,Rwanda,Tertiary,1,1.0,0.0,768.99
20,Female,Rwanda,Secondary,1,1.0,0.0,264.13
56,Male,Burundi,Primary,0,1.0,0.0,729.25
23,Female,Uganda,Tertiary,1,0.0,0.0,504.52
25,Female,Kenya,Secondary,0,0.0,0.0,540.53
44,Male,Burundi,None,1,0.0,0.0,378.88
26,Male,Tanzania,Secondary,0,0.0,1.0,574.53
54,Female,Kenya,Primary,no,1.0,0.0,291.84
50,Female,Uganda,Tertiary,1,0.0,0.0,255.34
68,Female,Tanzania,Secondary,1,1.0,0.0,765.74
59,Male,Rwanda,Secondary,0,1.0,0.0,158.99
61,Female,Rwanda,Primary,0,1.0,0.0,340.64
41,Male,Burundi,Tertiary,no,1.0,1.0,387.44
32,Female,Uganda,Tertiary,no,0.0,0.0,365.74
49,Male,Burundi,Secondary,0,1.0,0.0,886.38
49,Female,Uganda,Tertiary,0,1.0,0.0,409.22
41,Male,Burundi,Primary,1,0.0,0.0,425.46
58,Male,Kenya,Secondary,0,1.0,1.0,473.09
69,Male,Burundi,Primary,yes,1.0,0.0,579.59
66,Male,Kenya,Secondary,0,0.0,0.0,786.03
66,Female,Uganda,Secondary,1,0.0,,380.5
69,Male,Kenya,Tertiary,0,0.0,0.0,420.23
29,Male,Kenya,Tertiary,1,1.0,1.0,320.98
56,Male,Burundi,Secondary,0,0.0,0.0,349.08
19,Female,Kenya,Primary,nan,1.0,0.0,207.91
20,Male,Tanzania,Primary,1,1.0,0.0,559.16
66,Male,Tanzania,Tertiary,1,1.0,0.0,594.73
54,Female,Uganda,Secondary,0,1.0,1.0,343.82
66,Female,Tanzania,Primary,nan,1.0,0.0,617.58
34,Female,Burundi,None,yes,0.0,0.0,195.53
66,Female,Kenya,Tertiary,1,0.0,1.0,600.8
19,Male,Kenya,Secondary,no,0.0,,659.8
19,Female,Uganda,Secondary,0,0.0,0.0,629.78
45,Female,Kenya,None,no,1.0,0.0,552.85
40,Female,Kenya,Secondary,0,1.0,0.0,445.39
54,Male,Kenya,Tertiary,1,1.0,0.0,552.14
49,Female,Uganda,Primary,0,0.0,0.0,489.78
50,Male,Tanzania,Secondary,0,1.0,0.0,349.27
18,Female,Tanzania,Secondary,0,0.0,0.0,507.27
36,Male,Rwanda,Secondary,0,0.0,1.0,681.43
19,Male,Burundi,Primary,no,0.0,0.0,277.72
61,Female,Rwanda,Secondary,1,1.0,1.0,618.41
43,Male,Uganda,None,0,1.0,0.0,508.46
49,Female,Uganda,Primary,0,0.0,0.0,594.2
23,Female,Tanzania,Primary,1,0.0,0.0,403.58
49,Female,Kenya,Secondary,1,1.0,1.0,543.16
21,Male,Rwanda,Secondary,0,1.0,0.0,817.11
28,Other,Uganda,Secondary,1,1.0,0.0,398.36
34,Female,Burundi,Secondary,1,0.0,0.0,399.02
55,Male,Rwanda,Secondary,1,0.0,0.0,676.88
41,Female,Burundi,Secondary,1,1.0,0.0,517.89
22,Male,Burundi,Secondary,0,1.0,1.0,372.52
69,Male,Tanzania,Secondary,1,0.0,0.0,96.7
51,Female,Tanzania,Secondary,1,1.0,1.0,553.41
23,Female,Burundi,Primary,1,,0.0,569.07
39,Male,Rwanda,Secondary,1,0.0,0.0,442.14
28,Male,Tanzania,,1,0.0,0.0,491.53
65,Female,Rwanda,Primary,1,,0.0,575.66
33,Male,Tanzania,None,1,1.0,0.0,758.8
50,Male,Kenya,Tertiary,no,1.0,0.0,602.24
26,,Uganda,Secondary,nan,0.0,0.0,412.48
23,Male,Kenya,Tertiary,1,1.0,1.0,657.82
33,Female,Kenya,Tertiary,yes,1.0,0.0,408.45
46,Male,Uganda,Tertiary,0,0.0,0.0,477.64
20,Female,Tanzania,None,0,1.0,0.0,733.81
37,Male,Tanzania,Tertiary,1,0.0,0.0,644.7
53,Other,Kenya,Primary,1,0.0,,716.96
36,Male,Tanzania,None,0,1.0,0.0,170.01
43,Female,Burundi,Primary,0,0.0,1.0,340.94
20,Female,Burundi,Tertiary,1,1.0,1.0,451.81
36,,Tanzania,Tertiary,0,1.0,0.0,683.47
37,Male,Burundi,Secondary,0,0.0,0.0,775.8
49,Female,Uganda,Secondary,0,0.0,1.0,410.74
24,Male,Kenya,Secondary,0,,0.0,172.79
69,Female,Tanzania,Secondary,1,1.0,1.0,357.84
58,Male,Kenya,Secondary,1,0.0,0.0,614.95
50,Male,Uganda,Tertiary,1,0.0,0.0,133.84
57,Male,Kenya,Primary,0,1.0,0.0,491.39
56,Female,Tanzania,Primary,1,0.0,1.0,488.6
35,Female,Uganda,Primary,no,1.0,,613.06
57,Male,Uganda,Primary,nan,0.0,1.0,504.89
18,Female,Burundi,Tertiary,no,,0.0,648.55
28,Other,Tanzania,Primary,1,1.0,0.0,577.45
45,Female,Uganda,Secondary,1,1.0,0.0,553.78
42,Female,Uganda,Secondary,0,0.0,0.0,592.79
67,Female,Kenya,Secondary,1,0.0,,904.4
40,Female,Burundi,Secondary,1,0.0,0.0,615.66
48,Male,Kenya,None,1,,0.0,469.65
47,Female,Uganda,Primary,1,1.0,1.0,549.43
59,Male,Uganda,,1,0.0,0.0,582.47
52,Female,Kenya,Primary,0,0.0,0.0,366.35
24,Other,Kenya,Primary,1,0.0,0.0,378.26
33,Male,Uganda,,1,0.0,0.0,419.21
43,Male,Uganda,Tertiary,0,0.0,0.0,528.05
65,Male,Burundi,Primary,1,0.0,,566.08
69,Male,Uganda,Secondary,1,1.0,0.0,0.0
66,Female,Uganda,Primary,1,0.0,0.0,582.05
19,Female,Tanzania,Secondary,0,1.0,0.0,199.99
18,Male,Rwanda,Primary,1,1.0,1.0,582.32
65,Female,Rwanda,Secondary,1,0.0,0.0,553.79
29,Male,Uganda,Primary,0,1.0,0.0,672.82
22,Other,Burundi,Primary,no,1.0,0.0,477.29
54,Male,Tanzania,Secondary,1,0.0,0.0,397.51
49,Female,Uganda,Secondary,no,,,523.11
26,Male,Tanzania,,1,1.0,0.0,658.32
58,Male,Kenya,Primary,0,1.0,0.0,608.8
52,Female,Burundi,Tertiary,1,1.0,0.0,373.77
36,Male,Rwanda,Secondary,1,0.0,1.0,507.36
65,Female,Tanzania,Secondary,1,,0.0,196.05
33,Female,Uganda,Secondary,1,1.0,0.0,282.2
20,Female,Kenya,Secondary,0,1.0,0.0,507.99
37,,Burundi,Primary,0,0.0,0.0,423.08
41,Male,Tanzania,Tertiary,1,1.0,0.0,80.57
50,Female,Kenya,Primary,1,0.0,0.0,585.16
41,Female,Tanzania,Secondary,1,0.0,0.0,375.41
69,Male,Tanzania,Secondary,1,1.0,0.0,727.23
28,Female,Tanzania,Primary,1,1.0,1.0,-100.0
66,Female,Burundi,Primary,1,0.0,0.0,137.44
25,Female,Burundi,Primary,nan,1.0,0.0,440.56
53,Male,Rwanda,Secondary,1,1.0,1.0,590.69
55,Female,Tanzania,Primary,1,0.0,1.0,729.53
57,Male,Kenya,Secondary,1,0.0,1.0,389.26
37,Female,Uganda,,0,1.0,0.0,472.73
52,Female,Tanzania,Secondary,no,0.0,0.0,570.18
65,Male,Rwanda,Secondary,0,0.0,0.0,374.68
42,Female,Burundi,Secondary,yes,0.0,0.0,487.49
52,Female,Rwanda,None,1,0.0,0.0,153.12
42,,Rwanda,Secondary,1,1.0,1.0,765.76
46,Male,Tanzania,Primary,0,1.0,0.0,74.07
35,Female,Tanzania,Primary,1,1.0,0.0,748.9
63,Female,Kenya,Primary,0,1.0,0.0,630.33
35,Female,Kenya,Tertiary,1,0.0,0.0,519.96
19,Male,Rwanda,Secondary,1,0.0,0.0,270.31
52,Male,Kenya,Primary,0,1.0,0.0,550.44
33,Female,Kenya,Secondary,1,1.0,0.0,465.71
58,Male,Uganda,Secondary,1,1.0,0.0,510.68
53,Other,Kenya,Primary,1,0.0,0.0,0.0
50,Male,Rwanda,Primary,nan,1.0,0.0,579.36
21,,Tanzania,Tertiary,1,1.0,0.0,456.72
50,Female,Burundi,Secondary,1,0.0,1.0,367.84
31,Female,Tanzania,Secondary,no,1.0,0.0,797.06
38,Male,Rwanda,Primary,0,0.0,0.0,640.68
65,Female,Burundi,Secondary,1,1.0,0.0,426.83
37,Female,Uganda,Primary,1,1.0,0.0,235.47
25,Female,Rwanda,None,no,1.0,0.0,291.01
24,Male,Rwanda,Secondary,no,1.0,0.0,526.15
20,Female,Rwanda,Primary,1,0.0,0.0,869.46
34,Female,Tanzania,Secondary,1,1.0,0.0,425.28
50,Male,Burundi,Primary,1,0.0,0.0,279.52
65,Female,Uganda,Tertiary,no,0.0,0.0,305.45
29,Male,Kenya,Secondary,1,1.0,1.0,664.93
68,Female,Burundi,Primary,0,1.0,0.0,116.4
39,,Rwanda,Primary,1,1.0,0.0,605.37
39,Male,Rwanda,Primary,0,0.0,0.0,382.95
63,Male,Rwanda,Primary,0,1.0,0.0,121.96
47,Female,Rwanda,Secondary,1,1.0,0.0,485.37
55,Male,Uganda,Secondary,0,1.0,1.0,461.06
55,Female,Tanzania,,0,1.0,0.0,614.36
62,Male,Burundi,Primary,1,1.0,0.0,377.73
68,Male,Uganda,Secondary,1,0.0,0.0,169.1
25,Male,Uganda,Primary,yes,0.0,0.0,484.44
44,Male,Uganda,Secondary,1,1.0,0.0,407.72
44,Male,Uganda,Secondary,0,1.0,0.0,579.97
51,Female,Uganda,Secondary,1,0.0,0.0,581.02
38,Female,Uganda,Primary,0,0.0,0.0,817.03
47,Male,Uganda,None,0,,1.0,276.31
50,Female,Tanzania,Secondary,0,0.0,0.0,679.47
45,Female,Tanzania,Secondary,1,1.0,0.0,1146.42
64,Male,Uganda,Primary,no,1.0,0.0,576.38
50,Female,Rwanda,Secondary,0,1.0,0.0,347.87
22,Female,Kenya,Secondary,0,1.0,0.0,531.59
65,Male,Uganda,Secondary,1,0.0,0.0,753.33
36,Male,Burundi,Secondary,0,1.0,0.0,741.83
21,Female,Burundi,Primary,1,1.0,0.0,566.77
52,Female,Uganda,Primary,yes,0.0,1.0,663.45
66,Male,Tanzania,Primary,0,0.0,1.0,567.75
34,,Burundi,Primary,1,1.0,0.0,203.58
61,Female,Tanzania,Primary,0,1.0,0.0,562.03
45,Male,Kenya,Tertiary,1,0.0,0.0,594.01
47,Male,Rwanda,Primary,1,0.0,0.0,496.35
46,Male,Tanzania,Tertiary,no,0.0,1.0,407.26
63,Female,Burundi,Primary,1,1.0,1.0,647.05
23,Female,Kenya,Secondary,1,0.0,0.0,351.5
52,Female,Rwanda,Primary,yes,0.0,1.0,303.19
58,Female,Tanzania,Secondary,1,1.0,0.0,422.76
54,Male,Rwanda,Tertiary,1,1.0,0.0,557.77
41,Female,Kenya,None,0,0.0,1.0,365.62
46,Male,Kenya,,1,0.0,0.0,417.1
66,Male,Uganda,Primary,0,1.0,1.0,476.97
63,Female,Uganda,Secondary,1,0.0,0.0,489.89
48,Male,Tanzania,Tertiary,no,0.0,0.0,647.38
52,Female,Burundi,Tertiary,0,1.0,0.0,692.77
50,Other,Uganda,Primary,0,,0.0,359.46
69,Female,Tanzania,Secondary,0,1.0,0.0,668.02
38,Male,Rwanda,Secondary,1,1.0,0.0,828.02
49,Male,Kenya,Secondary,0,0.0,0.0,444.91
40,Male,Uganda,Primary,1,0.0,0.0,274.39
50,Female,Tanzania,Primary,0,0.0,0.0,760.14
20,Female,Kenya,Primary,1,,,526.94
35,Female,Rwanda,Secondary,1,0.0,0.0,472.53
42,Female,Uganda,Secondary,0,1.0,0.0,596.18
59,Female,Uganda,Tertiary,1,1.0,,701.77
48,Female,Rwanda,Primary,nan,1.0,0.0,425.07
20,Male,Burundi,Secondary,1,1.0,0.0,310.17
57,Female,Tanzania,Primary,0,0.0,0.0,334.28
63,Female,Rwanda,Primary,0,0.0,1.0,754.52
41,Male,Kenya,Secondary,0,1.0,1.0,366.76
67,,Kenya,Primary,1,1.0,0.0,350.61
49,Female,Burundi,Secondary,0,1.0,,450.54
64,Female,Rwanda,Secondary,1,1.0,0.0,394.15
39,Female,Tanzania,Tertiary,1,0.0,0.0,555.76
40,Male,Rwanda,Secondary,1,1.0,0.0,472.72
19,Male,Burundi,Secondary,0,1.0,0.0,506.29
44,Male,Uganda,Primary,0,0.0,0.0,499.02
59,Female,Rwanda,Secondary,no,1.0,0.0,578.26
19,Female,Burundi,Secondary,0,0.0,1.0,481.61
43,Male,Burundi,None,0,0.0,0.0,703.05
34,Female,Uganda,Primary,no,1.0,1.0,252.58
57,Male,Burundi,Primary,1,1.0,1.0,482.67
50,Male,Tanzania,Secondary,1,1.0,0.0,266.61
26,Male,Burundi,Tertiary,yes,,0.0,464.38
60,Male,Uganda,Tertiary,0,1.0,0.0,36.15
65,Male,Rwanda,Secondary,no,1.0,0.0,515.46
56,Male,Burundi,Primary,0,0.0,,570.42
46,Male,Burundi,Secondary,yes,0.0,0.0,401.53
59,Male,Tanzania,Tertiary,0,,0.0,456.48
43,Male,Uganda,Secondary,1,1.0,0.0,340.04
52,Female,Uganda,Tertiary,1,1.0,0.0,550.78
67,Male,Uganda,Secondary,1,0.0,0.0,200.97
42,Female,Uganda,Secondary,1,0.0,0.0,417.46
41,Male,Uganda,Primary,1,0.0,0.0,603.6
30,Male,Kenya,None,0,0.0,0.0,821.39
24,Male,Rwanda,,0,0.0,0.0,403.58
53,Female,Burundi,Tertiary,1,0.0,0.0,361.35
62,Male,Burundi,None,1,1.0,0.0,531.62
37,Female,Burundi,Primary,0,,0.0,280.7
18,Female,Tanzania,Primary,1,,1.0,742.53
25,Male,Uganda,Primary,1,1.0,1.0,552.08
63,Female,Rwanda,Primary,no,1.0,0.0,305.71
33,Male,Burundi,Tertiary,1,1.0,0.0,498.72
31,Male,Uganda,Secondary,1,0.0,,821.19
29,Male,Uganda,Secondary,1,1.0,,576.35
68,Male,Uganda,Secondary,0,0.0,1.0,478.6
40,Male,Tanzania,Secondary,no,1.0,,274.9
32,Female,Rwanda,Secondary,no,,0.0,720.38
45,Male,Burundi,Primary,0,1.0,0.0,634.81
51,Female,Kenya,Primary,1,1.0,0.0,777.26
19,Male,Tanzania,,0,1.0,0.0,418.96
49,,Tanzania,,no,1.0,1.0,903.35
40,Male,Kenya,None,no,0.0,0.0,371.2
39,Female,Tanzania,Primary,nan,0.0,0.0,656.63
68,Female,Burundi,,1,1.0,0.0,192.42
42,Male,Rwanda,None,0,1.0,0.0,375.42
39,Male,Rwanda,,1,1.0,0.0,864.59
39,Male,Burundi,Secondary,no,0.0,,400.77
66,Male,Burundi,Secondary,1,0.0,0.0,756.1
69,Male,Rwanda,Tertiary,0,1.0,0.0,301.05
59,Female,Burundi,,0,0.0,0.0,1065.69
23,Male,Tanzania,Primary,1,1.0,0.0,510.65
32,Female,Rwanda,Tertiary,yes,1.0,0.0,582.03
60,Male,Kenya,Secondary,0,0.0,0.0,685.33
54,Female,Kenya,Secondary,1,1.0,1.0,233.18
50,Male,Burundi,Tertiary,0,,1.0,416.58
25,Male,Kenya,Primary,1,0.0,0.0,723.26
61,Male,Kenya,Primary,1,1.0,0.0,462.12
61,Male,Rwanda,None,0,1.0,1.0,366.11
22,Female,Tanzania,Primary,0,,0.0,711.0
56,Female,Uganda,Primary,1,0.0,0.0,598.08
21,Female,Kenya,Primary,0,1.0,0.0,578.25
23,Female,Burundi,Tertiary,1,0.0,,463.51
62,Female,Uganda,Primary,1,1.0,0.0,643.56
49,Female,Kenya,Secondary,0,0.0,1.0,638.14
69,Male,Tanzania,None,1,1.0,0.0,706.22
47,Male,Kenya,Primary,0,1.0,0.0,370.79
64,Male,Burundi,Primary,1,1.0,0.0,235.01
52,Female,Tanzania,Primary,nan,1.0,1.0,446.85
57,Male,Burundi,,1,1.0,0.0,545.66
69,Female,Burundi,Tertiary,no,0.0,0.0,275.07
33,Male,Burundi,Primary,1,1.0,0.0,369.95
30,Female,Burundi,Tertiary,1,1.0,0.0,367.94
67,,Burundi,Primary,1,0.0,0.0,716.47
59,Male,Tanzania,Secondary,no,0.0,0.0,387.47
47,Female,Rwanda,None,0,,0.0,407.63
36,Female,Tanzania,Secondary,0,0.0,0.0,269.53
34,,Rwanda,None,no,0.0,,453.7
36,Male,Tanzania,Secondary,0,1.0,0.0,415.47
45,Female,Burundi,Secondary,0,1.0,0.0,655.34
43,Male,Tanzania,Secondary,1,1.0,0.0,500.64
54,Female,Tanzania,None,1,1.0,1.0,529.39
43,Female,Rwanda,,no,0.0,0.0,366.26
40,Female,Tanzania,Secondary,no,0.0,0.0,755.92
26,Male,Tanzania,Secondary,0,1.0,0.0,407.02
